Date,Stock,Open,High,Low,Close,Volume,SMA_50,Close_Lag_1,Close_Lag_3,Close_Lag_7,SMA_7,SMA_30,Daily_Pct_Change
2024-03-01,BRIGADE.NS,993.6885986328125,1010.4123203380118,985.4515416735353,999.4295777256422,129488,1222.4543943517624,999.4295777256422,999.4295777256422,999.4295777256422,1185.634506782516,1206.7905305715612,0.5777442853554433
2024-03-01,HAL.NS,3123.015869140625,3132.619616714008,3061.333708874751,3068.2642832480124,1516443,4472.8387053703955,3068.2642832480124,3068.2642832480124,3068.2642832480124,4308.547651097711,4403.513071723279,-1.7531638706555435
2024-03-01,TRENT.NS,3898.5751953125,3926.256154633241,3855.7047063259774,3921.3095972845244,645099,6135.819924275677,3921.3095972845244,3921.3095972845244,3921.3095972845244,5905.422104381261,6037.768072511677,0.5831464274271132
2024-03-01,VBL.NS,565.4708251953125,569.6185548318584,555.3606543333625,569.5387732459096,5235115,609.646494548127,569.5387732459096,569.5387732459096,569.5387732459096,600.055551763316,605.9831274760759,0.7193913230080549
2024-03-01,ZOMATO.NS,166.5,173.5,165.60000610351562,168.0,42587331,238.8779731997095,168.0,168.0,168.0,232.3359746836881,236.2145316167709,0.9009009009009009
2024-03-04,BRIGADE.NS,998.43115234375,1020.3966376953125,990.4437031250001,1017.4013442382812,155075,1222.4543943517624,999.4295777256422,999.4295777256422,999.4295777256422,1185.634506782516,1206.7905305715612,1.899999999999999
2024-03-04,HAL.NS,3183.064208984375,3194.8463303023996,3101.9270340780813,3125.6890030592094,1892157,4472.8387053703955,3068.2642832480124,3068.2642832480124,3068.2642832480124,4308.547651097711,4403.513071723279,-1.802514877432283
2024-03-04,TRENT.NS,3917.112548828125,3934.0508787455465,3839.8654985914172,3906.919590964182,291319,6135.819924275677,3921.3095972845244,3921.3095972845244,3921.3095972845244,5905.422104381261,6037.768072511677,-0.2602161091080284
2024-03-04,VBL.NS,571.9716186523438,579.0108377373627,559.8075734933157,578.3129466110908,4506765,609.646494548127,569.5387732459096,569.5387732459096,569.5387732459096,600.055551763316,605.9831274760759,1.10867877914785
2024-03-04,ZOMATO.NS,169.8000030517578,175.60000610351562,168.0,168.0,55751426,238.8779731997095,168.0,168.0,168.0,232.3359746836881,236.2145316167709,-1.0600724495918543
2024-03-05,BRIGADE.NS,971.3736572265625,1012.9083672804394,965.4828892658303,1012.4091517223908,199532,1222.4543943517624,1017.4013442382812,999.4295777256422,999.4295777256422,1185.634506782516,1206.7905305715612,4.224480887508482
2024-03-05,HAL.NS,3204.8955078125,3234.350447990882,3169.2525549916013,3196.974851630078,1502498,4472.8387053703955,3125.6890030592094,3068.2642832480124,3068.2642832480124,4308.547651097711,4403.513071723279,-0.24714241581711896
2024-03-05,TRENT.NS,3849.65869140625,3933.151453538434,3842.413662421245,3926.8057098726213,549270,6135.819924275677,3906.919590964182,3921.3095972845244,3921.3095972845244,5905.422104381261,6037.768072511677,2.0039963189097696
2024-03-05,VBL.NS,550.1959228515625,576.2988640992791,546.5267609156691,576.2988640992791,11104745,609.646494548127,578.3129466110908,569.5387732459096,569.5387732459096,600.055551763316,605.9831274760759,4.744299287502876
2024-03-05,ZOMATO.NS,165.85000610351562,171.5,164.0500030517578,170.75,29313864,238.8779731997095,168.0,168.0,168.0,232.3359746836881,236.2145316167709,2.9544731481203765
2024-03-06,BRIGADE.NS,935.3801879882812,983.5045810652545,921.6018504610269,977.4640848635285,293767,1222.4543943517624,1012.4091517223908,999.4295777256422,999.4295777256422,1185.634506782516,1206.7905305715612,4.4991221126627545
2024-03-06,HAL.NS,3196.182861328125,3212.816288298606,3123.0158936998732,3206.677827863581,1292669,4472.8387053703955,3196.974851630078,3068.2642832480124,3068.2642832480124,4308.547651097711,4403.513071723279,0.32835938964690814
2024-03-06,TRENT.NS,3869.34521484375,3891.180331271973,3747.6786911073796,3873.7921149659564,1009678,6135.819924275677,3926.8057098726213,3921.3095972845244,3921.3095972845244,5905.422104381261,6037.768072511677,0.1149264248934691
2024-03-06,VBL.NS,571.8519897460938,577.3757238928539,543.1965843158779,546.7860256517931,7370822,609.646494548127,576.2988640992791,569.5387732459096,569.5387732459096,600.055551763316,605.9831274760759,-4.383295772990156
2024-03-06,ZOMATO.NS,161.5500030517578,164.39999389648438,157.5,164.39999389648438,95621548,238.8779731997095,170.75,168.0,168.0,232.3359746836881,236.2145316167709,1.7641540024072144
